Date.Local,Time.Local,Sample.Measurement
01/01/2015,00:00,12
01/01/2015,01:00,17
01/01/2015,02:00,49
01/01/2015,03:00,16
01/01/2015,04:00,29
01/01/2015,05:00,5
01/01/2015,06:00,6
01/01/2015,07:00,6
01/01/2015,08:00,5
01/01/2015,09:00,5
01/01/2015,10:00,3
01/01/2015,11:00,2
01/01/2015,12:00,2
01/01/2015,13:00,4
01/01/2015,14:00,6
01/01/2015,15:00,11
01/01/2015,16:00,13
01/01/2015,17:00,12
01/01/2015,18:00,12
01/01/2015,19:00,10
01/01/2015,20:00,10
01/01/2015,21:00,7
01/01/2015,22:00,6
01/01/2015,23:00,6
02/01/2015,00:00,6
02/01/2015,01:00,8
02/01/2015,02:00,5
02/01/2015,03:00,7
02/01/2015,04:00,5
02/01/2015,05:00,7
02/01/2015,06:00,7
02/01/2015,07:00,7
02/01/2015,08:00,16
02/01/2015,09:00,8
02/01/2015,10:00,6
02/01/2015,11:00,4
02/01/2015,12:00,4
02/01/2015,13:00,5
02/01/2015,14:00,6
02/01/2015,15:00,7
02/01/2015,16:00,8
02/01/2015,17:00,5
02/01/2015,18:00,6
02/01/2015,19:00,4
02/01/2015,20:00,6
02/01/2015,21:00,4
02/01/2015,22:00,5
02/01/2015,23:00,5
03/01/2015,00:00,3
03/01/2015,01:00,5
03/01/2015,02:00,4
03/01/2015,03:00,5
03/01/2015,04:00,5
03/01/2015,05:00,5
03/01/2015,06:00,7
03/01/2015,07:00,6
03/01/2015,08:00,8
03/01/2015,09:00,6
03/01/2015,10:00,5
03/01/2015,11:00,4
03/01/2015,12:00,4
03/01/2015,13:00,6
03/01/2015,14:00,6
03/01/2015,15:00,5
03/01/2015,16:00,5
03/01/2015,17:00,5
03/01/2015,18:00,5
03/01/2015,19:00,5
03/01/2015,20:00,6
03/01/2015,21:00,7
03/01/2015,22:00,3
03/01/2015,23:00,5
04/01/2015,00:00,4
04/01/2015,01:00,5
04/01/2015,02:00,4
04/01/2015,03:00,5
04/01/2015,04:00,6
04/01/2015,05:00,7
04/01/2015,06:00,-15
04/01/2015,07:00,6
04/01/2015,08:00,8
04/01/2015,09:00,8
